"state","state_Deaths","state_Births","state_Mortality_rate","state_HC01_VC03","state_HC01_VC04","state_HC01_VC05","state_HC01_VC07","state_HC01_VC09","state_HC03_VC12_unemp_pct","state_HC01_VC74","state_HC01_VC85_inc_med","state_HC01_VC86_inc_mean","state_HC01_VC103","state_HC01_VC118","state_HC01_VC130","state_HC01_VC131_hc","state_HC03_VC131_hc_pct","state_HC01_VC132_hc_priv","state_HC03_VC132_hc_priv_pct","state_HC01_VC133_hc_pub","state_HC03_VC133_hc_pub_pct","state_HC01_VC134_nohc","state_HC03_VC134_nohc_pct","state_HC01_VC161_bpl","state_HC03_VC161_bpl_pct","state_HC01_VC162_bpl_18","state_HC03_VC162_bpl_18_pct","state_HC01_VC163_bpl_5","state_HC03_VC163_bpl_5_pct"
"AK",78,11282,6.91366778939904,565212,399077,382393,31285,166135,8.1813736130107,250969,72648.0888516112,89746.2894620451,167562,879656,709358,580394,81.8196171749667,460366,64.8989649796013,187536,26.4374265180628,128964,18.1803828250333,11688.949,6.97589489263676,18209.742,10.8674651770688,19695.857,11.7543697258328
"AL",496,59657,8.31419615468428,3846845,2242401,2229422,207097,1604444,9.28926869834423,1848325,44494.4912014932,60511.3091517996,1238967,1392323,4749786,4148627,87.3434508417853,3122837,65.7468989129194,1648163,34.6997317352824,601159,12.6565491582147,178954.189,14.4438220711286,289824.272,23.3924125501325,298441.225,24.0879075068182
"AR",293,38886,7.53484544566168,2328384,1365791,1361024,104943,962593,7.71059143703564,1138025,41795.6725810066,57304.0884857538,759924,1505402,2905193,2493760,85.8380148926422,1734526,59.7043294541877,1114777,38.371874088916,411433,14.1619851073578,108241.124,14.2436775256473,175277.811,23.0651763860597,201168.659,26.4722076154984
"AZ",467,85351,5.47152347365584,5207123,3106324,3089118,275712,2100799,8.92526604681336,2412212,50355.3062769773,68297.020868398,1581380,315788,6533509,5551125,84.9639144906665,3977054,60.8716388084871,2324123,35.5723547637265,982384,15.0360855093335,210604.109,13.3177420354374,336175.474,21.2583613046833,324857.491,20.5426583743313
"CA",2172,489460,4.43754341519225,30312429,19269449,19137441,1891081,11042980,9.88157716593352,12717801,63599.2288005607,87876.8429502868,8732734,1618351,37912312,32338467,85.2980609570843,23202289,61.1998788150931,12356668,32.5927577299955,5573845,14.7019390429157,1062473.339,12.1665601975281,1568831.722,17.9649548698037,1367591.828,15.6605231305568
"CO",301,63681,4.7266845683956,4168824,2852439,2820014,195578,1316385,6.93535564007838,2024468,61607.2737316668,81635.3754462901,1300972,1775824,5187214,4548363,87.6841209944298,3614783,69.6864058432908,1452882,28.0089080573888,638851,12.3158790055702,110419.465,8.48745899219968,175780.344,13.5114625064951,172307.958,13.2445554554595
"CT",201,35746,5.62300676998825,2906229,1962170,1953709,172292,944059,8.81871353410359,1352583,70920.6661757541,99992.3720725456,895639,296201,3538599,3258970,92.097748289648,2552771,72.1407257505018,1107788,31.3058360102402,279629,7.90225171035203,67392.865,7.52455676896607,109273.634,12.2006337374768,108828.848,12.1509724342062
"DC",84,9578,8.77009814157444,546805,377072,373626,35811,169733,9.58471840824782,273390,70848,107594,118737,47675,636610,599599,94.186236471309,442948,69.5791772042538,223636,35.1291999811502,37011,5.81376352869104,16979.391,14.3,25884.666,21.8,15792.021,13.3
"DE",102,11166,9.13487372380441,744949,473007,470039,36223,271942,7.70638181087101,344022,60860.4051397876,79262.2305027004,230307,86856,911788,836681,91.7626685150496,644689,70.7060193816984,322036,35.3191750713982,75107,8.23733148495045,18870.371,8.19357249236888,32404.204,14.0700039512477,33562.554,14.5729630449791
"FL",1399,224269,6.23804449121368,16077778,9510681,9457267,915976,6567097,9.68541968837297,7300494,47819.2818210658,67974.5334519828,4699888,1574624,19335250,15860768,82.0303228559238,11376233,58.8367515289433,6808080,35.2107161789995,3474482,17.9696771440762,565768.439,12.037913222613,932103.837,19.8324691354347,895101.102,19.0451581399387
"GA",1024,131404,7.79276125536513,7792052,4906258,4857206,468932,2885794,9.65435684630217,3574362,50689.8329727095,69010.5452732544,2423535,3269995,9812517,8132502,82.8788576875841,6187667,63.0589175030219,2875926,29.3087492230587,1680015,17.1211423124159,343438.647,14.170979457693,518000.647,21.3737638202048,501823.041,20.7062427817217
"HI",104,18420,5.64603691639522,1130491,736939,695572,42288,393552,6.07960067397768,450572,69819.3804697141,87328.929647204,313612,159463,1352350,1272129,94.0680297260325,1026384,75.8963286131549,430113,31.804858209783,80221,5.93197027396754,24240.861,7.72957061592031,36733.051,11.7128971467929,33283.924,10.6130900603293
"IA",167,39482,4.22977559394154,2447401,1656968,1655245,81735,790433,4.93793970076937,1236409,53639.9655000894,68445.6914702174,797481,2629031,3049107,2826406,92.6961894088991,2306715,75.6521499573482,954658,31.3094292853613,222701,7.30381059110094,64219.151,8.05274997147267,109833.05,13.772497401192,125541.028,15.7421967419913
"ID",107,22827,4.68743155035703,1232564,774526,771173,55312,458038,7.1724502802873,589320,48088.7054079278,62311.0100234168,406168,943849,1595824,1361030,85.2869740021456,1080922,67.7344118148367,477240,29.905553494621,234794,14.7130259978544,44168.398,10.8744160051998,68645.562,16.9007804652262,81977.565,20.1831668176715
"IL",948,158116,5.9955981684333,10201787,6712162,6694742,608516,3489625,9.08946155057208,4786388,58568.227628224,79555.8211998275,3124683,2599543,12694224,11295589,88.982115015459,8639304,68.0569682715541,3989360,31.4265763704816,1398635,11.017884984541,326847.191,10.4601711917657,525683.524,16.8235793518895,521290.073,16.6829746569492
"IN",613,84040,7.29414564493099,5160786,3300531,3297501,258739,1860255,7.8465177114427,2501937,49966.4193115174,64649.2958939414,1655043,2205890,6468964,5640622,87.1951366555758,4442345,68.6716605626496,1942040,30.0208812415713,828342,12.8048633444242,183960.179,11.1151298788007,305341.95,18.4491853081763,344497.559,20.8150216640897
"KS",233,39154,5.95086070388721,2247842,1507080,1489651,88454,740762,5.93790089087981,1113472,53947.7788440122,70093.2026975083,729468,2620070,2833872,2515753,88.7744047719869,2080953,73.4314393875235,775942,27.3809826273029,318119,11.2255952280131,66390.14,9.10117236122763,109167.792,14.9653983450953,123070.734,16.871299906233
"KY",375,55971,6.69989816154794,3493098,2080437,2065689,174308,1412661,8.43824990112258,1708499,44679.3450443928,60030.5745920835,1136718,2479633,4312238,3821976,88.6309150840005,2796136,64.8418756107617,1560016,36.1764819103213,490262,11.3690849159995,163423.845,14.3768150939811,259519.431,22.8305904366782,295003.921,25.9522520977058
"LA",489,64692,7.55889445371916,3634163,2208869,2194199,178150,1425294,8.11913595804209,1727919,45386.1102250742,63904.1518867493,1128232,1412135,4522122,3822370,84.5260256136389,2717728,60.0985112741319,1571226,34.7453253140893,699752,15.4739743863611,171309.291,15.1838709591644,263781.869,23.3801087896816,279907.509,24.8093928376433
"MA",308,71492,4.30817434118503,5479502,3700701,3696139,280164,1778801,7.57990973824307,2549721,69821.2254332925,94142.9140839331,1620917,497762,6627768,6391805,96.4397818390746,4937598,74.4986547507396,2268955,34.2340739748283,235963,3.56021816092537,132858.342,8.19649260264406,210984.423,13.0163619111898,202576.4,12.4976417669751
"MD",485,73616,6.58824168658987,4737405,3241222,3214531,238027,1496183,7.40471938208093,2166389,76786.9037038131,97800.8183516441,1450292,793757,5836734,5313662,91.0382758576971,4318257,73.9841322218899,1679957,28.7824834916239,523072,8.96172414230287,101079.793,6.96961667029812,156558.152,10.7949400534513,153281.931,10.5690392693333
"ME",83,12607,6.58364400729753,1098075,697913,696184,47497,400162,6.8224779655953,553284,49884.3285130241,64984.2748118507,347579,412677,1314824,1182794,89.9583518402463,875890,66.61652053811,498505,37.9141999233357,132030,10.0416481597537,32462.391,9.33957201096729,57902.197,16.6587155725749,73285.452,21.0845453839271
"MI",739,113312,6.52181587122282,7925988,4855005,4851264,477746,3070983,9.84786645294917,3841148,50346.1627005781,66760.0837481399,2497834,1963963,9789145,8845904,90.3644189558945,6834279,69.814871472432,3437050,35.1108293931697,943241,9.63558104410549,297896.278,11.926183965788,496288.447,19.8687521668774,575698.88,23.0479239212854
"MN",361,69834,5.16940172408855,4281141,2996985,2994959,167764,1284156,5.60154579745499,2124745,62463.4248862805,80443.5629692034,1376549,2402107,5360861,4983791,92.9662418033223,4089759,76.2892192131077,1565919,29.210214553222,377070,7.03375819667774,100180.724,7.27767220781825,170796.882,12.4076136773918,189144.988,13.7405198071409
"MO",486,75061,6.47473388310841,4803676,3053938,3034524,226528,1749738,7.46502581624004,2364688,49207.0785849973,65311.8377380018,1530006,2473050,5932449,5205916,87.7532364795719,4097395,69.0675132647579,1803877,30.4069533509685,726533,12.2467635204281,170007.162,11.1115356410367,279471.237,18.2660222901087,298055.734,19.4806905332397
"MS",363,38394,9.4546022816065,2333154,1352993,1342359,138445,980161,10.313559934414,1096593,40181.3867606304,54905.6833693084,749121,1542014,2921189,2459002,84.1781206214319,1677619,57.4293207320718,1097812,37.5809986960789,462187,15.8218793785681,131571.11,17.5633989702598,201537.428,26.9031876025368,197217.141,26.3264734268563
"MT",73,12583,5.80147818485258,814661,521330,517807,32361,293331,6.24962582583859,409394,47440.5169763113,63139.2871194986,255470,1401158,999213,843946,84.461070862769,662087,66.2608472868147,315305,31.5553340478957,155267,15.538929137231,25300.685,9.9035835910283,43178.045,16.9014150389478,49774.575,19.4835303558148
"NC",888,120843,7.34837764702962,7812594,4909108,4826193,453420,2903486,9.39498275348707,3775581,47765.445676043,65338.2392018606,2497993,2251436,9649606,8259444,85.5935879661822,6244106,64.7084036384491,3144431,32.5861076607687,1390162,14.4064120338178,319536.414,12.7917257574381,520743.449,20.846473508933,544921.485,21.8143719778238
"ND",81,11314,7.15927169878027,575611,404820,399180,11464,170791,2.87188736910667,299638,57795.9583931277,76185.2077974089,181864,1690727,706307,642145,90.9158482076491,562928,79.700187029153,171717,24.3119493364783,64162,9.08415179235092,13129.152,7.21921435798179,21474.515,11.8080076320767,28720.038,15.792041305591
"NE",151,26679,5.6598823044342,1454157,1020419,1015736,47602,433738,4.68645396047792,736613,53573.9625366373,69391.7885646873,476627,2449327,1840934,1651833,89.727985902808,1376009,74.7451565346721,494459,26.8591378072218,189101,10.272014097192,41733.403,8.75598801578593,69228.929,14.5247602422859,86044.225,18.052738304796
"NH",42,9766,4.30063485562154,1087512,742874,741543,42733,344638,5.76271369293487,520251,67680.4989841442,85727.1988520926,347378,318104,1309057,1187005,90.6763418246875,998717,76.2928581413949,352442,26.9233501673342,122052,9.32365817531246,19517.625,5.61855529135409,34859.811,10.0351234102332,40597.527,11.6868445900431
"NJ",482,103127,4.67384874960001,7120154,4702508,4695103,413343,2417646,8.80370462586231,3189486,73245.5612274203,99025.5735199966,2211531,757775,8796604,7773154,88.3653964643628,6251122,71.0629010922852,2446407,27.8108119906273,1023450,11.6346035356372,180388.7,8.15673395489369,275399.901,12.4529071037214,267243.414,12.0840907950194
"NM",131,25816,5.07437248218159,1633310,973891,964959,88924,659419,9.21531381126037,763603,45846.3501963717,62215.0984150141,495031,719052,2049702,1713355,83.590443879159,1116586,54.4755286378215,832436,40.6125378225713,336347,16.409556120841,78849.215,15.9281368237545,121586.561,24.5614034272601,123540.626,24.9561393124875
"NV",188,36298,5.17934872444763,2210559,1424596,1415779,148467,785963,10.4865943060322,1016709,52029.2673882104,69149.7239672315,651954,447401,2763700,2258127,81.7066613597713,1753840,63.459854542823,778071,28.1532366031045,505573,18.2933386402287,74292.155,11.3953062639389,116452.707,17.8621048417526,114940.26,17.6301180758152
"NY",1087,234661,4.63221413017076,15921937,10107278,10083719,829141,5814659,8.22257145404389,7262279,61891.2059060248,86824.9096813824,4625960,1747765,19427310,17550259,90.3380807739208,12753304,65.6462680628456,6932536,35.6844874560606,1877051,9.66191922607916,554231.963,11.9809069468824,838068.125,18.1166314667658,760667.015,16.443441253275
"OH",1000,139264,7.18060661764706,9229397,5852224,5843924,477251,3377173,8.16661886773339,4585084,49828.9188198079,66408.9431661448,2937598,2153164,11402897,10294292,90.2778653529888,7901673,69.2953115335515,3801624,33.3391067199853,1108605,9.72213464701119,338970.184,11.5390255576154,575741.49,19.5990564399894,673089.983,22.9129371343526
"OK",389,53122,7.3227664621061,3003180,1854061,1835519,115978,1149119,6.31853987891163,1455321,47210.1396873954,63889.6727347437,966009,1756514,3768424,3140751,83.3438859321563,2357795,62.5671368189991,1233938,32.744139194528,627673,16.6561140678437,120237.94,12.4468757537456,190321.08,19.7017915982149,214614.314,22.2165957045949
"OR",235,45655,5.14730040521301,3177669,1976314,1973823,184016,1201355,9.3228217525077,1533430,52143.0241523904,69040.1456075595,971791,875229,3900771,3420441,87.686280481474,2578617,66.1053161028935,1358757,34.8330368534836,480330,12.313719518526,108820.51,11.1979335062786,180727.033,18.5973149576401,202799.317,20.8686144448755
"PA",865,141047,6.13270753720391,10384811,6521759,6516882,514993,3863052,7.90244475809137,4958859,55105.2934209261,73174.8947225561,3202874,1738799,12575088,11468414,91.1994731170072,9159582,72.8391085613079,4095378,32.5673903832721,1106674,8.80052688299279,297503.98,9.28865699993194,504219.709,15.7427269695904,529365.181,16.5278178598346
"RI",65,10993,5.91285363413081,865174,569623,566588,48418,295551,8.5455392630977,410602,57719.7090028787,77110.587834448,257540,178353,1037930,941771,90.7355023941884,729414,70.2758374842234,341959,32.9462487836367,96159,9.26449760581157,26014.552,10.1011695270638,43234.575,16.7875184437369,43491.034,16.8870987031141
"SC",402,58139,6.91446361306524,3816548,2323906,2293251,217977,1492642,9.50515229253143,1815094,45939.9759296213,61987.2445873327,1212645,984950,4679496,3999311,85.4645671243228,2976961,63.6171288531927,1616742,34.549489945071,680185,14.5354328756772,163696.641,13.4991395668147,269230.928,22.2019575390984,295563.631,24.3734671729979
"SD",90,12336,7.29571984435798,657804,453990,451073,20220,203814,4.48264471604374,330858,51400.6494629116,66404.1158049677,212994,1672103,825506,734488,88.9742775945905,596647,72.276518886598,244046,29.5632012365749,91018,11.0257224054095,19356.746,9.08793017643689,31519.602,14.7983520662554,39196.687,18.4027188559302
"TN",567,81685,6.94129889208545,5174955,3172519,3155039,266297,2002436,8.44037110159336,2504556,46228.983706094,63338.5721357398,1665445,2037030,6397431,5578318,87.1962198576272,4146190,64.8102339829847,2196491,34.3339537386179,819113,12.8037801423728,220294.387,13.2273588740547,360072.235,21.6201816931811,393059.616,23.600876402403
"TX",2304,403618,5.70836781313024,20241168,13101788,13006330,912068,7139380,7.01249314756738,9149196,54626.9605803614,75263.6054106831,6364104,5982157,26062431,20698446,79.4187081013279,15483381,59.4088133988729,7363320,28.2526215608974,5363985,20.5812918986721,855802.645,13.4473390912531,1261379.261,19.820217598581,1204416.712,18.9251576027042
"UT",255,50778,5.02185986056954,2096916,1423700,1419516,81870,673216,5.76745876763629,906292,60914.5089827561,76530.7611288635,680007,654015,2876833,2496443,86.7774737011151,2147556,74.6500057528539,601091,20.8941916336471,380390,13.2225262988849,62336.581,9.16704989801575,87699.105,12.8967944447631,92681.884,13.6295485193535
"VA",610,103303,5.90495919769997,6598956,4376786,4266800,276030,2222170,6.46925096090747,3062783,70125.540932544,88954.8403154908,2054416,3599697,8043013,7126973,88.6107358026153,6020331,74.851688042777,2044627,25.421157469222,916040,11.3892641973847,168849.075,8.21883566911473,276100.273,13.4393556611709,274588.063,13.3657478816364
"VT",27,5903,4.57394545146536,519139,346162,345689,18957,172977,5.48383084217317,257167,55724.2477884021,71391.5083039426,159457,398821,620457,584299,94.1723600507368,424576,68.4295607914811,246854,39.7858352794795,36158,5.8276399492632,11689.979,7.33111685281925,21305.214,13.3611029932835,24184.435,15.1667440124924
"WA",434,88990,4.87695246656928,5568640,3586261,3537683,277806,1982379,7.85276690986728,2668912,62540.19542158,80788.6827171522,1722188,1003642,6878854,6091385,88.5523228142362,4799143,69.7666064725316,2128454,30.9419853946602,787469,11.4476771857638,152420.574,8.85040274348677,247369.583,14.3636805621686,259097.41,15.0446646939823
"WI",389,67041,5.80241941498486,4583931,3079657,3077153,193763,1504274,6.2968269696047,2299107,54244.4731302197,69333.2242405421,1469290,1890052,5668363,5219979,92.0897091453035,4141640,73.0658922161478,1798676,31.7318421561922,448384,7.9102908546965,126965.827,8.64130477985966,215179.485,14.6451337040339,247207.91,16.8249909820389
"WV",141,19805,7.11941428932088,1512183,815405,814593,63341,696778,7.77578496255185,740890,42114.7589102296,56424.5724628487,479803,1194073,1822400,1613621,88.5437335381914,1154719,63.3625438981563,734101,40.2821005267779,208779,11.4562664618086,62740.073,13.0762152383374,106953.518,22.2911315685813,127269.031,26.5252678703551
"WY",38,7765,4.89375402446877,456640,311371,308951,15002,145269,4.85578619263249,226865,59254.0286161374,73477.5699204373,147229,672144,570198,493896,86.6183325792093,412501,72.3434666554425,148956,26.1235570801722,76302,13.3816674207907,11302.905,7.6770914697512,18582.837,12.6217233017952,20625.298,14.0089914351113
